X[m],Y[m],Heading [deg],Time,piX,piY,Path_to_Image
0.005,-0.003,7.2,16-Jul-2021 15:30:51,7402,5006,G0019266_linear_linear_rectangle.jpg
0.004,-0.003,5.9,16-Jul-2021 15:30:51,7401,5006,G0019267_linear_linear_rectangle.jpg
0.005,-0.003,7.2,16-Jul-2021 15:30:52,7402,5006,G0019268_linear_linear_rectangle.jpg
0.005,-0.003,6.5,16-Jul-2021 15:30:52,7401,5006,G0019269_linear_linear_rectangle.jpg
0.004,-0.004,6.6,16-Jul-2021 15:30:53,7402,5006,G0019270_linear_linear_rectangle.jpg
0.005,-0.003,7.7,16-Jul-2021 15:30:54,7402,5006,G0019271_linear_linear_rectangle.jpg
0.004,-0.003,6.6,16-Jul-2021 15:30:54,7402,5006,G0019272_linear_linear_rectangle.jpg
0.005,-0.003,7.8,16-Jul-2021 15:30:54,7401,5006,G0019273_linear_linear_rectangle.jpg
0.005,-0.004,6.0,16-Jul-2021 15:30:55,7402,5006,G0019274_linear_linear_rectangle.jpg
0.005,-0.003,7.1,16-Jul-2021 15:30:56,7402,5006,G0019275_linear_linear_rectangle.jpg
0.005,-0.004,7.1,16-Jul-2021 15:30:56,7402,5006,G0019276_linear_linear_rectangle.jpg
0.005,-0.004,7.2,16-Jul-2021 15:30:56,7402,5006,G0019277_linear_linear_rectangle.jpg
0.005,-0.003,6.6,16-Jul-2021 15:30:57,7402,5006,G0019278_linear_linear_rectangle.jpg
0.005,-0.004,6.6,16-Jul-2021 15:30:57,7402,5006,G0019279_linear_linear_rectangle.jpg
0.005,-0.004,7.1,16-Jul-2021 15:30:58,7402,5006,G0019280_linear_linear_rectangle.jpg
0.005,-0.004,7.2,16-Jul-2021 15:30:58,7402,5006,G0019281_linear_linear_rectangle.jpg
0.005,-0.003,7.1,16-Jul-2021 15:30:59,7401,5006,G0019282_linear_linear_rectangle.jpg
0.005,-0.004,6.0,16-Jul-2021 15:31:00,7402,5006,G0019283_linear_linear_rectangle.jpg
0.005,-0.004,6.6,16-Jul-2021 15:31:00,7402,5006,G0019284_linear_linear_rectangle.jpg
0.004,-0.004,7.1,16-Jul-2021 15:31:00,7402,5006,G0019285_linear_linear_rectangle.jpg
0.005,-0.003,6.5,16-Jul-2021 15:31:01,7401,5006,G0019286_linear_linear_rectangle.jpg
0.004,-0.003,5.9,16-Jul-2021 15:31:02,7401,5007,G0019287_linear_linear_rectangle.jpg
0.005,-0.004,6.6,16-Jul-2021 15:31:02,7403,5006,G0019288_linear_linear_rectangle.jpg
0.004,-0.004,6.0,16-Jul-2021 15:31:03,7402,5006,G0019289_linear_linear_rectangle.jpg
0.005,-0.004,7.1,16-Jul-2021 15:31:03,7402,5006,G0019290_linear_linear_rectangle.jpg
0.005,-0.004,7.8,16-Jul-2021 15:31:03,7402,5006,G0019291_linear_linear_rectangle.jpg
0.005,-0.004,6.6,16-Jul-2021 15:31:04,7402,5006,G0019292_linear_linear_rectangle.jpg
0.004,-0.004,7.9,16-Jul-2021 15:31:04,7402,5006,G0019293_linear_linear_rectangle.jpg
0.005,-0.003,7.1,16-Jul-2021 15:31:05,7402,5006,G0019294_linear_linear_rectangle.jpg
0.005,-0.003,6.5,16-Jul-2021 15:31:05,7401,5006,G0019295_linear_linear_rectangle.jpg
0.005,-0.003,7.7,16-Jul-2021 15:31:06,7402,5006,G0019296_linear_linear_rectangle.jpg
0.005,-0.004,6.0,16-Jul-2021 15:31:07,7402,5006,G0019297_linear_linear_rectangle.jpg
0.004,-0.003,7.1,16-Jul-2021 15:31:07,7402,5006,G0019298_linear_linear_rectangle.jpg
0.005,-0.004,7.2,16-Jul-2021 15:31:07,7402,5005,G0019299_linear_linear_rectangle.jpg
0.005,-0.003,7.8,16-Jul-2021 15:31:08,7402,5006,G0019300_linear_linear_rectangle.jpg
0.005,-0.004,6.7,16-Jul-2021 15:31:09,7403,5006,G0019301_linear_linear_rectangle.jpg
0.005,-0.004,6.6,16-Jul-2021 15:31:09,7402,5006,G0019302_linear_linear_rectangle.jpg
0.004,-0.003,7.1,16-Jul-2021 15:31:09,7401,5006,G0019303_linear_linear_rectangle.jpg
0.005,-0.004,7.1,16-Jul-2021 15:31:10,7402,5006,G0019304_linear_linear_rectangle.jpg
0.005,-0.004,6.0,16-Jul-2021 15:31:10,7402,5006,G0019305_linear_linear_rectangle.jpg
0.005,-0.003,7.8,16-Jul-2021 15:31:11,7401,5006,G0019306_linear_linear_rectangle.jpg
0.005,-0.003,7.1,16-Jul-2021 15:31:11,7402,5006,G0019307_linear_linear_rectangle.jpg
0.005,-0.003,7.8,16-Jul-2021 15:31:12,7401,5006,G0019308_linear_linear_rectangle.jpg
0.005,-0.003,8.3,16-Jul-2021 15:31:13,7402,5006,G0019309_linear_linear_rectangle.jpg
0.005,-0.003,7.7,16-Jul-2021 15:31:13,7401,5006,G0019310_linear_linear_rectangle.jpg
0.005,-0.003,7.2,16-Jul-2021 15:31:13,7402,5006,G0019311_linear_linear_rectangle.jpg
0.005,-0.004,7.3,16-Jul-2021 15:31:14,7402,5006,G0019312_linear_linear_rectangle.jpg
0.005,-0.004,6.7,16-Jul-2021 15:31:14,7402,5006,G0019313_linear_linear_rectangle.jpg
0.004,-0.004,6.6,16-Jul-2021 15:31:15,7402,5006,G0019314_linear_linear_rectangle.jpg
0.005,-0.003,7.1,16-Jul-2021 15:31:15,7401,5006,G0019315_linear_linear_rectangle.jpg
0.005,-0.003,7.8,16-Jul-2021 15:31:16,7401,5006,G0019316_linear_linear_rectangle.jpg
0.004,-0.003,7.2,16-Jul-2021 15:31:16,7401,5006,G0019317_linear_linear_rectangle.jpg
0.011,-0.003,6.6,16-Jul-2021 15:31:17,7401,5000,G0019318_linear_linear_rectangle.jpg
0.070,0.001,7.8,16-Jul-2021 15:31:17,7398,4941,G0019319_linear_linear_rectangle.jpg
0.133,0.012,-0.6,16-Jul-2021 15:31:18,7387,4878,G0019320_linear_linear_rectangle.jpg
0.222,0.006,-3.6,16-Jul-2021 15:31:18,7393,4789,G0019321_linear_linear_rectangle.jpg
0.319,-0.004,-1.8,16-Jul-2021 15:31:19,7404,4692,G0019322_linear_linear_rectangle.jpg
0.345,-0.007,-1.8,16-Jul-2021 15:31:19,7407,4667,G0019323_linear_linear_rectangle.jpg
0.392,-0.013,-2.4,16-Jul-2021 15:31:20,7413,4619,G0019324_linear_linear_rectangle.jpg
0.471,-0.019,-2.5,16-Jul-2021 15:31:20,7419,4541,G0019325_linear_linear_rectangle.jpg
0.614,-0.032,-1.2,16-Jul-2021 15:31:21,7434,4397,G0019326_linear_linear_rectangle.jpg
0.648,-0.039,4.2,16-Jul-2021 15:31:21,7441,4364,G0019327_linear_linear_rectangle.jpg
0.745,-0.050,16.5,16-Jul-2021 15:31:22,7452,4267,G0019328_linear_linear_rectangle.jpg
0.903,-0.015,27.6,16-Jul-2021 15:31:22,7417,4110,G0019329_linear_linear_rectangle.jpg
1.032,0.044,29.7,16-Jul-2021 15:31:23,7359,3980,G0019330_linear_linear_rectangle.jpg
1.128,0.091,28.1,16-Jul-2021 15:31:23,7313,3885,G0019331_linear_linear_rectangle.jpg
1.175,0.121,19.6,16-Jul-2021 15:31:24,7283,3838,G0019332_linear_linear_rectangle.jpg
1.320,0.164,8.0,16-Jul-2021 15:31:24,7240,3693,G0019333_linear_linear_rectangle.jpg
1.478,0.170,4.3,16-Jul-2021 15:31:25,7235,3535,G0019334_linear_linear_rectangle.jpg
1.628,0.167,6.1,16-Jul-2021 15:31:26,7239,3386,G0019335_linear_linear_rectangle.jpg
1.777,0.172,9.9,16-Jul-2021 15:31:26,7235,3238,G0019336_linear_linear_rectangle.jpg
1.911,0.183,10.0,16-Jul-2021 15:31:26,7225,3103,G0019337_linear_linear_rectangle.jpg
1.931,0.185,10.6,16-Jul-2021 15:31:27,7223,3084,G0019338_linear_linear_rectangle.jpg
1.931,0.183,10.5,16-Jul-2021 15:31:27,7224,3083,G0019339_linear_linear_rectangle.jpg
1.935,0.184,11.8,16-Jul-2021 15:31:28,7224,3080,G0019340_linear_linear_rectangle.jpg
2.032,0.189,19.6,16-Jul-2021 15:31:29,7219,2983,G0019341_linear_linear_rectangle.jpg
2.198,0.231,32.2,16-Jul-2021 15:31:29,7177,2818,G0019342_linear_linear_rectangle.jpg
2.325,0.291,46.3,16-Jul-2021 15:31:29,7118,2690,G0019343_linear_linear_rectangle.jpg
2.427,0.383,57.8,16-Jul-2021 15:31:30,7026,2589,G0019344_linear_linear_rectangle.jpg
2.478,0.443,57.4,16-Jul-2021 15:31:30,6966,2538,G0019345_linear_linear_rectangle.jpg
2.533,0.516,57.1,16-Jul-2021 15:31:31,6894,2483,G0019346_linear_linear_rectangle.jpg
2.564,0.559,56.8,16-Jul-2021 15:31:31,6851,2453,G0019347_linear_linear_rectangle.jpg
2.657,0.678,56.6,16-Jul-2021 15:31:32,6733,2360,G0019348_linear_linear_rectangle.jpg
2.725,0.765,55.5,16-Jul-2021 15:31:32,6646,2292,G0019349_linear_linear_rectangle.jpg
2.801,0.862,56.3,16-Jul-2021 15:31:33,6549,2217,G0019350_linear_linear_rectangle.jpg
2.886,0.971,56.3,16-Jul-2021 15:31:33,6440,2131,G0019351_linear_linear_rectangle.jpg
3.291,1.944,81.3,16-Jul-2021 15:31:38,5467,1728,G0019360_linear_linear_rectangle.jpg
3.326,2.094,89.4,16-Jul-2021 15:31:38,5317,1693,G0019361_linear_linear_rectangle.jpg
3.337,2.219,96.8,16-Jul-2021 15:31:39,5192,1683,G0019362_linear_linear_rectangle.jpg
3.333,2.343,100.3,16-Jul-2021 15:31:39,5067,1687,G0019363_linear_linear_rectangle.jpg
3.315,2.497,101.7,16-Jul-2021 15:31:40,4914,1705,G0019364_linear_linear_rectangle.jpg
3.304,2.558,101.5,16-Jul-2021 15:31:40,4852,1716,G0019365_linear_linear_rectangle.jpg
3.305,2.558,101.1,16-Jul-2021 15:31:41,4853,1715,G0019366_linear_linear_rectangle.jpg
3.304,2.557,101.0,16-Jul-2021 15:31:42,4853,1716,G0019367_linear_linear_rectangle.jpg
3.300,2.586,100.9,16-Jul-2021 15:31:42,4824,1720,G0019368_linear_linear_rectangle.jpg
3.288,2.666,100.4,16-Jul-2021 15:31:43,4744,1732,G0019369_linear_linear_rectangle.jpg
3.282,2.717,99.1,16-Jul-2021 15:31:43,4693,1739,G0019370_linear_linear_rectangle.jpg
3.273,2.771,99.3,16-Jul-2021 15:31:44,4638,1748,G0019371_linear_linear_rectangle.jpg
3.262,2.871,98.6,16-Jul-2021 15:31:44,4538,1759,G0019372_linear_linear_rectangle.jpg
3.249,3.006,99.9,16-Jul-2021 15:31:44,4404,1772,G0019373_linear_linear_rectangle.jpg
3.248,3.013,98.8,16-Jul-2021 15:31:45,4397,1773,G0019374_linear_linear_rectangle.jpg
3.246,3.032,98.7,16-Jul-2021 15:31:45,4378,1775,G0019375_linear_linear_rectangle.jpg
3.235,3.144,98.8,16-Jul-2021 15:31:46,4265,1786,G0019376_linear_linear_rectangle.jpg
3.205,3.421,98.8,16-Jul-2021 15:31:47,3988,1815,G0019378_linear_linear_rectangle.jpg
3.190,3.563,98.9,16-Jul-2021 15:31:47,3845,1831,G0019379_linear_linear_rectangle.jpg
3.179,3.676,98.8,16-Jul-2021 15:31:48,3732,1842,G0019380_linear_linear_rectangle.jpg
3.164,3.810,99.5,16-Jul-2021 15:31:48,3597,1857,G0019381_linear_linear_rectangle.jpg
3.154,3.920,99.5,16-Jul-2021 15:31:49,3487,1867,G0019382_linear_linear_rectangle.jpg
3.151,3.941,98.4,16-Jul-2021 15:31:49,3466,1870,G0019383_linear_linear_rectangle.jpg
3.151,3.941,98.8,16-Jul-2021 15:31:50,3466,1871,G0019384_linear_linear_rectangle.jpg
3.151,3.941,98.2,16-Jul-2021 15:31:51,3467,1870,G0019385_linear_linear_rectangle.jpg
3.143,4.014,98.3,16-Jul-2021 15:31:51,3393,1878,G0019386_linear_linear_rectangle.jpg
3.138,4.060,99.7,16-Jul-2021 15:31:52,3347,1883,G0019387_linear_linear_rectangle.jpg
3.135,4.156,108.6,16-Jul-2021 15:31:52,3251,1887,G0019388_linear_linear_rectangle.jpg
3.132,4.185,111.8,16-Jul-2021 15:31:53,3222,1890,G0019389_linear_linear_rectangle.jpg
3.118,4.229,113.7,16-Jul-2021 15:31:53,3178,1903,G0019390_linear_linear_rectangle.jpg
3.096,4.297,117.1,16-Jul-2021 15:31:54,3109,1925,G0019391_linear_linear_rectangle.jpg
3.095,4.297,117.3,16-Jul-2021 15:31:54,3109,1926,G0019392_linear_linear_rectangle.jpg
3.094,4.302,117.6,16-Jul-2021 15:31:54,3104,1928,G0019393_linear_linear_rectangle.jpg
3.065,4.374,121.1,16-Jul-2021 15:31:55,3033,1957,G0019394_linear_linear_rectangle.jpg
3.037,4.432,123.7,16-Jul-2021 15:31:55,2974,1984,G0019395_linear_linear_rectangle.jpg
3.007,4.496,131.7,16-Jul-2021 15:31:56,2910,2015,G0019396_linear_linear_rectangle.jpg
2.966,4.551,136.6,16-Jul-2021 15:31:56,2855,2055,G0019397_linear_linear_rectangle.jpg
